id,log_price,Prices,property_type,room_type,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,host_has_profile_pic,host_identity_verified,host_response_rate,host_since,instant_bookable,latitude,longitude,name,neighbourhood,number_of_reviews,review_scores_rating,zipcode,bedrooms,beds
6901257,5.010635294,150,Apartment,Entire home/apt,3,1,Real Bed,strict,TRUE,NYC,t,t,0%,3/26/12,f,40.69652363,-73.99161685,Beautiful brownstone 1-bedroom,Brooklyn Heights,2,100,11201,1,1
6304928,5.129898715,169,Apartment,Entire home/apt,7,1,Real Bed,strict,TRUE,NYC,t,f,100%,6/19/17,t,40.76611542,-73.98903992,Superb 3BR Apt Located Near Times Square,Hell's Kitchen,6,93,10019,3,3
7919400,4.976733742,145,Apartment,Entire home/apt,5,1,Real Bed,moderate,TRUE,NYC,t,t,100%,10/25/16,t,40.80810999,-73.94375584,The Garden Oasis,Harlem,10,92,10027,1,3
13418779,6.620073207,750,House,Entire home/apt,4,1,Real Bed,flexible,TRUE,SF,t,t,0%,4/19/15,f,37.77200448,-122.4316187,Beautiful Flat in the Heart of SF!,Lower Haight,0,null,94117,2,2
3808709,4.744932128,115,Apartment,Entire home/apt,2,1,Real Bed,moderate,TRUE,DC,t,t,100%,3/1/15,t,38.92562692,-77.03459552,Great studio in midtown DC,Columbia Heights,4,40,20009,0,1
12422935,4.442651256,85,Apartment,Private room,2,1,Real Bed,strict,TRUE,SF,t,t,100%,6/7/17,t,37.75316405,-122.4295261,Comfort Suite San Francisco,Noe Valley,3,100,94131,1,1
11825529,4.418840608,83,Apartment,Entire home/apt,3,1,Real Bed,moderate,TRUE,LA,t,f,100%,3/3/17,t,33.9804544,-118.4628207,Beach Town Studio and Parking!!!11h,null,15,97,90292,1,1
13971273,4.787491743,120,Condominium,Entire home/apt,2,1,Real Bed,moderate,TRUE,LA,t,t,100%,5/18/13,f,34.04673741,-118.2604389,"Near LA Live, Staple's. Starbucks inside. OWN VIEW",Downtown,9,93,90015,1,1
180792,4.787491743,120,House,Private room,2,1,Real Bed,moderate,TRUE,SF,t,f,100%,6/4/15,f,37.78112798,-122.5010952,Cozy Garden Studio - Private Entry,Richmond District,159,99,94121,1,1
5385260,3.583518938,36,House,Private room,2,1,Real Bed,moderate,TRUE,LA,t,f,100%,3/12/17,t,33.99256298,-117.8959966,No.7 Queen Size Cozy Room 舒适大床房,null,2,90,91748,1,1
5578513,4.605170186,100,Apartment,Private room,2,1,Real Bed,strict,TRUE,NYC,t,t,100%,3/27/13,f,40.72388327,-73.98388043,Large East Village Bedroom To Let!,Alphabet City,82,93,10009,1,1
17423675,5.010635294,150,House,Entire home/apt,4,1.5,Real Bed,strict,TRUE,LA,t,t,100%,6/11/15,f,33.87586236,-118.4032926,Sand Section Beach Bungalow,Hermosa Beach,29,97,90254,2,2
14066228,4.248495242,70,Apartment,Private room,2,1,Real Bed,flexible,TRUE,LA,t,f,0%,5/10/16,f,33.81322842,-118.3894336,Beach Pad 1 min walk to the ocean!,Torrance,0,null,90277,1,1
2658946,5.298317367,200,Apartment,Entire home/apt,6,1.5,Real Bed,strict,TRUE,DC,t,t,100%,10/12/12,t,38.91963001,-77.03118943,Charming 2 bdrm in trendy U/14th streets w/parking,U Street Corridor,13,89,20009,2,3
583490,4.955827058,142,Apartment,Entire home/apt,2,1,Real Bed,strict,TRUE,LA,t,t,100%,11/20/12,f,33.77852647,-118.1459258,VINTAGE 1930s Mediteranian Apt. (NOT a party SPOT),null,2,100,90804,1,1
6226658,4.094344562,60,Apartment,Private room,2,1.5,Real Bed,moderate,TRUE,Chicago,t,t,100%,9/10/12,f,41.90824021,-87.69524167,Sweet Home Chicago,Humboldt Park,0,null,60622,1,1
7499179,4.317488114,75,Loft,Private room,2,1,Real Bed,strict,FALSE,Chicago,t,f,0%,7/29/16,f,41.91030829,-87.67526102,Private room in Wicker Park loft at Six Corners,Wicker Park,15,91,60622,1,1
14648556,4.59511985,99,Townhouse,Private room,2,2,Real Bed,strict,TRUE,Boston,t,t,100%,7/27/14,f,42.33919401,-71.04967213,"Comfy room (C) near T, convention center, downtown",South Boston,12,88,2127,1,1
17589436,4.882801923,132,Apartment,Entire home/apt,2,1,Real Bed,strict,TRUE,NYC,t,t,71%,8/17/15,f,40.7190863,-73.99028485,"Amazing LES apt - cool, bright...",Lower East Side,26,86,10002,1,2
18224863,4.59511985,99,House,Entire home/apt,8,1,Real Bed,strict,TRUE,NYC,t,f,100%,5/9/17,t,40.64377262,-73.95085466,3 Bedroom Apartment for Small Group or Family,Flatbush,5,72,11226,3,3
7264511,4.382026635,80,House,Private room,2,1,Real Bed,strict,TRUE,LA,t,t,100%,1/11/16,f,34.16579488,-118.444462,Chill out after work or playing in Los Angeles,Sherman Oaks,26,98,91401,1,1
16679342,3.688879454,40,House,Private room,2,1.5,Real Bed,strict,TRUE,NYC,t,t,100%,8/27/14,f,40.65627776,-73.92264546,THE LIBRARY LOUNGE,East Flatbush,57,89,11212,1,1
3563677,4.905274778,135,Apartment,Entire home/apt,4,1,Real Bed,moderate,TRUE,LA,t,t,100%,11/28/14,t,34.04700251,-118.2673519,"LOFT WITH VIEW, Convention center!",Downtown,73,99,90015,1,1
17615783,4.007333185,55,House,Private room,2,1,Real Bed,moderate,TRUE,LA,t,t,0%,7/12/12,f,34.17536014,-118.4309043,Private Rm. 1Blk. From Sherman Oaks,Valley Glen,2,100,91401,1,1
2479317,6.956545443,1050,Apartment,Entire home/apt,4,1,Real Bed,moderate,TRUE,DC,t,f,0%,5/19/15,f,38.91127529,-77.03727241,Dupont 1 bedroom - 1 mile from the White House!,Dupont Circle,0,null,20009,1,2
