id,cancellation_policy,host_has_profile_pic,host_identity_verified,host_response_rate,host_since
6901257,strict,t,t,0%,3/26/12
6304928,strict,t,f,100%,6/19/17
7919400,moderate,t,t,100%,10/25/16
13418779,flexible,t,t,0%,4/19/15
3808709,moderate,t,t,100%,3/1/15
12422935,strict,t,t,100%,6/7/17
11825529,moderate,t,f,100%,3/3/17
13971273,moderate,t,t,100%,5/18/13
180792,moderate,t,f,100%,6/4/15
5385260,moderate,t,f,100%,3/12/17
5578513,strict,t,t,100%,3/27/13
17423675,strict,t,t,100%,6/11/15
14066228,flexible,t,f,0%,5/10/16
2658946,strict,t,t,100%,10/12/12
583490,strict,t,t,100%,11/20/12
6226658,moderate,t,t,100%,9/10/12
7499179,strict,t,f,0%,7/29/16
14648556,strict,t,t,100%,7/27/14
17589436,strict,t,t,71%,8/17/15
18224863,strict,t,f,100%,5/9/17
7264511,strict,t,t,100%,1/11/16
16679342,strict,t,t,100%,8/27/14
3563677,moderate,t,t,100%,11/28/14
17615783,moderate,t,t,0%,7/12/12
2479317,moderate,t,f,0%,5/19/15
14122244,strict,t,t,100%,1/10/17
19407360,flexible,t,t,0%,6/20/13
14490881,strict,t,f,100%,5/25/16
851978,flexible,t,t,0%,9/26/15
4734170,strict,t,f,68%,3/6/16
421056,strict,t,t,67%,1/6/14
5520582,strict,t,f,83%,3/18/17
8908966,strict,t,t,100%,10/7/11
10994968,moderate,t,t,100%,4/1/11
5559765,flexible,t,f,50%,10/24/16
15705862,moderate,t,t,90%,8/7/12
16904896,strict,t,t,100%,12/26/13
4209927,strict,t,f,86%,11/19/13
12232154,strict,t,t,0%,1/6/11
4680055,strict,t,t,100%,6/16/13
19813606,strict,t,f,100%,7/17/16
18191678,moderate,t,f,0%,9/17/16
12428036,moderate,t,t,100%,7/13/15
4014942,moderate,t,t,100%,8/24/14
11376382,flexible,t,t,100%,2/13/17
15238989,flexible,t,f,100%,5/13/15
18004987,moderate,t,t,0%,11/6/14
5117069,flexible,t,f,0%,12/8/13
16246049,flexible,t,f,100%,8/13/13
17708004,strict,t,t,100%,2/18/16
13435559,strict,t,t,100%,2/27/14
17621139,flexible,t,f,0%,9/23/15
3530517,flexible,t,t,0%,4/18/12
13412641,flexible,t,t,100%,7/29/13
17078757,flexible,t,t,100%,8/8/12
6443678,strict,t,f,0%,5/12/15
8926164,strict,t,t,100%,3/2/13
17556957,strict,t,t,71%,6/17/13
2503128,strict,t,f,92%,4/18/13
9471893,strict,t,f,100%,6/6/16
4274462,strict,t,t,100%,1/25/15
1948096,flexible,t,t,0%,5/3/15
11712092,flexible,t,t,0%,9/8/14
20918988,flexible,t,f,0%,8/29/15
5806687,flexible,t,t,0%,4/6/14
16474211,moderate,t,t,82%,8/11/14
15187281,flexible,t,f,100%,9/22/17
20269518,moderate,t,t,100%,11/27/16
19247305,strict,t,t,100%,12/6/14
11095719,flexible,t,t,100%,3/10/14
4285537,flexible,t,t,100%,10/17/14
14668858,moderate,t,f,0%,1/20/16
7822736,flexible,t,f,0%,3/13/10
15990686,strict,t,t,80%,12/19/14
19135811,flexible,t,f,0%,5/2/16
15956956,strict,t,t,100%,3/7/13
6924942,moderate,t,t,86%,3/22/14
6972777,flexible,t,t,100%,11/29/13
14253838,moderate,t,t,0%,3/26/15
20738762,flexible,t,f,0%,7/21/15
16221430,flexible,t,t,100%,8/9/12
13398011,strict,t,t,89%,3/8/12
18472310,moderate,t,t,0%,8/21/14
18524434,flexible,t,f,100%,7/31/12
19225024,strict,t,t,100%,11/12/13
18840866,strict,t,t,100%,6/29/16
2586472,flexible,t,t,0%,5/18/12
20761244,flexible,t,t,100%,1/5/17
3976798,strict,t,t,0%,11/5/13
17812291,strict,t,t,90%,10/12/15
1168086,strict,t,f,100%,7/28/15
19692298,flexible,t,f,100%,3/15/15
262343,flexible,null,null,0%,null
15734037,flexible,t,f,0%,1/22/15
5011392,flexible,t,t,0%,4/12/12
1830541,flexible,t,f,0%,1/3/17
4576821,flexible,t,t,100%,11/25/14
1008814,moderate,t,t,100%,4/25/12
7226513,strict,t,t,100%,4/14/14
13858669,strict,t,t,100%,3/14/15
14873270,flexible,t,t,0%,7/25/15
10132073,strict,t,t,80%,11/7/12
314248,moderate,t,f,0%,3/19/12
2165604,moderate,t,t,100%,3/14/16
14900814,moderate,t,t,100%,7/3/13
11593024,strict,t,t,86%,2/8/14
17497912,flexible,t,f,100%,3/23/15
16490513,flexible,t,t,90%,7/1/13
15282612,flexible,t,t,0%,7/18/10
235281,strict,t,t,100%,12/13/15
9335247,strict,t,t,100%,7/29/14
15792652,strict,t,t,0%,12/4/14
4666794,moderate,t,f,100%,9/6/16
20632389,strict,t,t,90%,5/24/12
